2017/08/23 09:18:24 [error] 6#6: *4 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:18:24 [error] 6#6: *1 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:18:24 [error] 6#6: *4 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:18:25 [error] 6#6: *4 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:18:25 [error] 6#6: *1 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:18:25 [error] 6#6: *1 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:19:38 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/jquery/dist/jquery.min.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:38 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:38 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:38 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:39 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:39 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:19:39 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/forgotPassword"
2017/08/23 09:19:39 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer-hover.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer-hover.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:20:08 [error] 7#7: *4 open() "/srv/web/bundles/pivot88quality/vendor/jquery/dist/jquery.min.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:20:08 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:20:08 [error] 7#7: *4 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:20:08 [error] 7#7: *4 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:20:08 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/login"
2017/08/23 09:20:08 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:20:56 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/vendor/select2/select2.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/select2/select2.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/vendor/select2/select2-bootstrap.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/select2/select2-bootstrap.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *1 open() "/srv/web/bundles/pivot88quality/vendor/bootstrap3-datepicker/css/datepicker.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/bootstrap3-datepicker/css/datepicker.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/jquery/dist/jquery.min.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery/dist/jquery.min.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:56 [error] 7#7: *6 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/js/language.js" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/js/language.js HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/jquery-ui/themes/ui-lightness/jquery-ui.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/sb-admin-2/css/plugins/metisMenu/metisMenu.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/select2/select2.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/select2/select2.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/select2/select2-bootstrap.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/select2/select2-bootstrap.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/bootstrap3-datepicker/css/datepicker.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/bootstrap3-datepicker/css/datepicker.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-menu-white.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-menu-white.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/changePassword"
2017/08/23 09:20:57 [error] 7#7: *22 open() "/srv/web/bundles/pivot88quality/images/logo/pivot88-footer.png" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/images/logo/pivot88-footer.png HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
2017/08/23 09:20:57 [crit] 7#7: *1 stat() "/srv/web/bundles/pivot88quality/fonts/bootstrap/glyphicons-halflings-regular.woff2" failed (13: Permission denied), client: 192.168.128.1, server: , request: "GET /bundles/pivot88quality/fonts/bootstrap/glyphicons-halflings-regular.woff2 HTTP/1.1", host: "localhost:8080", referrer: "http://localhost:8080/app_dev.php/css/1df1ec4_main_1.css"
